날짜,노선번호,역/정류장명,승차인원,하차인원,교통수단
20230901,105번(상계동~서울역),,179.0,20.0,버스
20230901,105번(상계동~서울역),,7.0,192.0,버스
20230901,105번(상계동~서울역),,207.0,37.0,버스
20230901,105번(상계동~서울역),,109.0,1.0,버스
20230901,105번(상계동~서울역),,109.0,198.0,버스
20230901,105번(상계동~서울역),,252.0,145.0,버스
20230901,105번(상계동~서울역),,158.0,103.0,버스
20230901,105번(상계동~서울역),,191.0,111.0,버스
20230901,105번(상계동~서울역),,127.0,116.0,버스
20230901,105번(상계동~서울역),,159.0,116.0,버스
20230901,105번(상계동~서울역),,136.0,214.0,버스
20230901,105번(상계동~서울역),,105.0,193.0,버스
20230901,105번(상계동~서울역),,75.0,159.0,버스
20230901,105번(상계동~서울역),,152.0,132.0,버스
20230901,105번(상계동~서울역),,332.0,249.0,버스
20230901,105번(상계동~서울역),,221.0,380.0,버스
20230901,105번(상계동~서울역),,99.0,124.0,버스
20230901,105번(상계동~서울역),,38.0,80.0,버스
20230901,105번(상계동~서울역),,117.0,120.0,버스
20230901,105번(상계동~서울역),,137.0,220.0,버스
20230901,105번(상계동~서울역),,51.0,113.0,버스
20230901,105번(상계동~서울역),,97.0,100.0,버스
20230901,105번(상계동~서울역),,480.0,35.0,버스
20230901,105번(상계동~서울역),,168.0,33.0,버스
20230901,105번(상계동~서울역),,184.0,73.0,버스
20230901,105번(상계동~서울역),,246.0,168.0,버스
20230901,105번(상계동~서울역),,141.0,164.0,버스
20230901,105번(상계동~서울역),,197.0,175.0,버스
20230901,105번(상계동~서울역),,157.0,164.0,버스
20230901,105번(상계동~서울역),,178.0,93.0,버스
20230901,105번(상계동~서울역),,214.0,166.0,버스
20230901,105번(상계동~서울역),,205.0,184.0,버스
20230901,105번(상계동~서울역),,184.0,148.0,버스
20230901,105번(상계동~서울역),,94.0,137.0,버스
20230901,105번(상계동~서울역),,106.0,152.0,버스
20230901,105번(상계동~서울역),,187.0,186.0,버스
20230901,105번(상계동~서울역),,211.0,129.0,버스
20230901,105번(상계동~서울역),,125.0,190.0,버스
20230901,105번(상계동~서울역),,160.0,136.0,버스
20230901,105번(상계동~서울역),,76.0,162.0,버스
20230901,105번(상계동~서울역),,49.0,256.0,버스
20230901,105번(상계동~서울역),,30.0,192.0,버스
20230901,105번(상계동~서울역),,14.0,323.0,버스
20230901,105번(상계동~서울역),,2.0,74.0,버스
20230901,105번(상계동~서울역),,0.0,56.0,버스
20230901,105번(상계동~서울역),,145.0,87.0,버스
20230901,105번(상계동~서울역),,39.0,128.0,버스
20230901,105번(상계동~서울역),,75.0,150.0,버스
20230901,105번(상계동~서울역),,51.0,119.0,버스
20230901,105번(상계동~서울역),,228.0,33.0,버스
20230901,105번(상계동~서울역),,221.0,44.0,버스
20230901,105번(상계동~서울역),,246.0,210.0,버스
20230901,105번(상계동~서울역),,222.0,85.0,버스
20230901,105번(상계동~서울역),,104.0,177.0,버스
20230901,105번(상계동~서울역),,70.0,1.0,버스
20230901,105번(상계동~서울역),,187.0,308.0,버스
20230901,105번(상계동~서울역),,149.0,129.0,버스
20230901,105번(상계동~서울역),,146.0,68.0,버스
20230901,105번(상계동~서울역),,174.0,143.0,버스
20230901,105번(상계동~서울역),,150.0,140.0,버스
20230901,105번(상계동~서울역),,116.0,133.0,버스
20230901,105번(상계동~서울역),,121.0,83.0,버스
20230901,105번(상계동~서울역),,138.0,94.0,버스
20230901,105번(상계동~서울역),,114.0,127.0,버스
20230901,105번(상계동~서울역),,73.0,75.0,버스
20230901,105번(상계동~서울역),,66.0,437.0,버스
20230901,105번(상계동~서울역),,47.0,126.0,버스
20230901,105번(상계동~서울역),,214.0,142.0,버스
20230901,105번(상계동~서울역),,0.0,43.0,버스
20230901,105번(상계동~서울역),,128.0,170.0,버스
20230901,105번(상계동~서울역),,39.0,167.0,버스
20230901,105번(상계동~서울역),,56.0,165.0,버스
20230901,105번(상계동~서울역),,77.0,295.0,버스
20230901,105번(상계동~서울역),,237.0,92.0,버스
20230901,105번(상계동~서울역),,129.0,91.0,버스
20230901,105번(상계동~서울역),,61.0,94.0,버스
20230901,105번(상계동~서울역),,228.0,187.0,버스
20230901,106번(의정부~동대문),,50.0,134.0,버스
20230901,106번(의정부~동대문),,109.0,1.0,버스
20230901,106번(의정부~동대문),,42.0,119.0,버스
20230901,106번(의정부~동대문),,96.0,53.0,버스
20230901,106번(의정부~동대문),,100.0,45.0,버스
20230901,106번(의정부~동대문),,174.0,22.0,버스
20230901,106번(의정부~동대문),,54.0,61.0,버스
20230901,106번(의정부~동대문),,127.0,261.0,버스
